Modelo utilizado:
VGG16 (sin la capa superior de clasificación, preentrenado en ImageNet)

Parámetros del modelo de KNN:
Algoritmo: brute
Metric: cosine
n_neighbors: 6

Resultados de la evaluación:
Precision promedio: 0.5485894275540948
Recall promedio: 0.4934515657810646
Distancia promedio: 0.12459341436624527
Tiempo de recuperación promedio: 0.5508880290029082 segundos
mAP (Mean Average Precision): 0.03507240065774285

Resultados detallados:
Consulta 1: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.6095 segundos
Consulta 2: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.05, Retrieval Time: 0.4780 segundos
Consulta 3: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.6981 segundos
Consulta 4: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.18, Retrieval Time: 0.5590 segundos
Consulta 5: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.15, Retrieval Time: 0.5900 segundos
Consulta 6: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.12, Retrieval Time: 0.4940 segundos
Consulta 7: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.15, Retrieval Time: 0.5200 segundos
Consulta 8: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.6500 segundos
Consulta 9: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.20, Retrieval Time: 0.5820 segundos
Consulta 10: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.5470 segundos
Consulta 11: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.5020 segundos
Consulta 12: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.4780 segundos
Consulta 13: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.13, Retrieval Time: 0.5650 segundos
Consulta 14: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.11, Retrieval Time: 0.5130 segundos
Consulta 15: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5360 segundos
Consulta 16: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.7056 segundos
Consulta 17: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.5106 segundos
Consulta 18: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.12, Retrieval Time: 0.4990 segundos
Consulta 19: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.16, Retrieval Time: 0.5226 segundos
Consulta 20: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.12, Retrieval Time: 0.5260 segundos
Consulta 21: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5610 segundos
Consulta 22: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.5563 segundos
Consulta 23: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.15, Retrieval Time: 0.4900 segundos
Consulta 24: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.10, Retrieval Time: 0.4934 segundos
Consulta 25: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.5450 segundos
Consulta 26: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.12, Retrieval Time: 0.5490 segundos
Consulta 27: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.5440 segundos
Consulta 28: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.5460 segundos
Consulta 29: Precision@6: 0.25, Recall@6: 0.04, Avg Distance: 0.16, Retrieval Time: 0.5630 segundos
Consulta 30: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.5830 segundos
Consulta 31: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.16, Retrieval Time: 0.6750 segundos
Consulta 32: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.14, Retrieval Time: 0.7131 segundos
Consulta 33: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.6030 segundos
Consulta 34: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.09, Retrieval Time: 0.5830 segundos
Consulta 35: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 0.07, Retrieval Time: 0.5501 segundos
Consulta 36: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5880 segundos
Consulta 37: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.13, Retrieval Time: 0.5590 segundos
Consulta 38: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.5310 segundos
Consulta 39: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.14, Retrieval Time: 0.8181 segundos
Consulta 40: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.12, Retrieval Time: 0.5458 segundos
Consulta 41: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5210 segundos
Consulta 42: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.12, Retrieval Time: 0.6443 segundos
Consulta 43: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 0.12, Retrieval Time: 0.5112 segundos
Consulta 44: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.16, Retrieval Time: 0.4848 segundos
Consulta 45: Precision@6: 0.50, Recall@6: 0.25, Avg Distance: 0.12, Retrieval Time: 0.5680 segundos
Consulta 46: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.15, Retrieval Time: 0.5160 segundos
Consulta 47: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.07, Retrieval Time: 0.5070 segundos
Consulta 48: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5101 segundos
Consulta 49: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.18, Retrieval Time: 0.5661 segundos
Consulta 50: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.6310 segundos
Consulta 51: Precision@6: 0.33, Recall@6: 0.17, Avg Distance: 0.14, Retrieval Time: 0.5920 segundos
Consulta 52: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5630 segundos
Consulta 53: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.16, Retrieval Time: 0.8421 segundos
Consulta 54: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5340 segundos
Consulta 55: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.13, Retrieval Time: 0.6220 segundos
Consulta 56: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 0.15, Retrieval Time: 0.9061 segundos
Consulta 57: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.13, Retrieval Time: 0.5768 segundos
Consulta 58: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.09, Retrieval Time: 0.6381 segundos
Consulta 59: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 0.18, Retrieval Time: 0.5315 segundos
Consulta 60: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.08, Retrieval Time: 0.5380 segundos
Consulta 61: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.11, Retrieval Time: 0.5090 segundos
Consulta 62: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.17, Retrieval Time: 0.4960 segundos
Consulta 63: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 0.10, Retrieval Time: 0.5970 segundos
Consulta 64: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 0.15, Retrieval Time: 0.5250 segundos
Consulta 65: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 0.17, Retrieval Time: 0.5200 segundos
Consulta 66: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 0.12, Retrieval Time: 0.7281 segundos
