Modelo utilizado:
VGG16 (sin la capa superior de clasificación, preentrenado en ImageNet)

Parámetros del modelo de KNN:
Algoritmo: ball_tree
n_neighbors: 6

Resultados de la evaluación:
Precision promedio: 0.5056012051492741
Recall promedio: 0.44932895097233627
Distancia promedio: 44.84403442229147
Tiempo de recuperación promedio: 0.14266919541182632 segundos
mAP (Mean Average Precision): 0.033854479058711924

Resultados detallados:
Consulta 1: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 45.24, Retrieval Time: 0.1790 segundos
Consulta 2: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 26.06, Retrieval Time: 0.1436 segundos
Consulta 3: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.52, Retrieval Time: 0.1400 segundos
Consulta 4: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 55.56, Retrieval Time: 0.1595 segundos
Consulta 5: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 47.45, Retrieval Time: 0.1617 segundos
Consulta 6: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 42.30, Retrieval Time: 0.1735 segundos
Consulta 7: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 49.60, Retrieval Time: 0.1738 segundos
Consulta 8: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.64, Retrieval Time: 0.1544 segundos
Consulta 9: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 61.62, Retrieval Time: 0.1490 segundos
Consulta 10: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 47.74, Retrieval Time: 0.1500 segundos
Consulta 11: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 49.72, Retrieval Time: 0.1430 segundos
Consulta 12: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.96, Retrieval Time: 0.1610 segundos
Consulta 13: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 45.26, Retrieval Time: 0.1460 segundos
Consulta 14: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 41.46, Retrieval Time: 0.1470 segundos
Consulta 15: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.48, Retrieval Time: 0.1430 segundos
Consulta 16: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 51.38, Retrieval Time: 0.1560 segundos
Consulta 17: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 50.90, Retrieval Time: 0.1490 segundos
Consulta 18: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 42.14, Retrieval Time: 0.1540 segundos
Consulta 19: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 51.73, Retrieval Time: 0.1864 segundos
Consulta 20: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 42.71, Retrieval Time: 0.1430 segundos
Consulta 21: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.17, Retrieval Time: 0.1780 segundos
Consulta 22: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 48.60, Retrieval Time: 0.1550 segundos
Consulta 23: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 49.59, Retrieval Time: 0.1849 segundos
Consulta 24: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 39.63, Retrieval Time: 0.1410 segundos
Consulta 25: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.10, Retrieval Time: 0.1646 segundos
Consulta 26: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 42.99, Retrieval Time: 0.1504 segundos
Consulta 27: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 44.97, Retrieval Time: 0.1430 segundos
Consulta 28: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 47.00, Retrieval Time: 0.1830 segundos
Consulta 29: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 51.00, Retrieval Time: 0.1900 segundos
Consulta 30: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 49.04, Retrieval Time: 0.1930 segundos
Consulta 31: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 51.13, Retrieval Time: 0.1450 segundos
Consulta 32: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 47.95, Retrieval Time: 0.1410 segundos
Consulta 33: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.73, Retrieval Time: 0.1353 segundos
Consulta 34: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 37.22, Retrieval Time: 0.1387 segundos
Consulta 35: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 32.47, Retrieval Time: 0.1340 segundos
Consulta 36: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.55, Retrieval Time: 0.1400 segundos
Consulta 37: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 45.43, Retrieval Time: 0.1400 segundos
Consulta 38: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 45.83, Retrieval Time: 0.1360 segundos
Consulta 39: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 47.72, Retrieval Time: 0.1360 segundos
Consulta 40: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 44.02, Retrieval Time: 0.1800 segundos
Consulta 41: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 42.20, Retrieval Time: 0.2310 segundos
Consulta 42: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 43.67, Retrieval Time: 0.1500 segundos
Consulta 43: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 41.40, Retrieval Time: 0.1370 segundos
Consulta 44: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 51.91, Retrieval Time: 0.1340 segundos
Consulta 45: Precision@6: 0.50, Recall@6: 0.33, Avg Distance: 43.80, Retrieval Time: 0.1400 segundos
Consulta 46: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 48.82, Retrieval Time: 0.1420 segundos
Consulta 47: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 33.16, Retrieval Time: 0.1460 segundos
Consulta 48: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 42.42, Retrieval Time: 0.1570 segundos
Consulta 49: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 57.86, Retrieval Time: 0.1470 segundos
Consulta 50: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.21, Retrieval Time: 0.1730 segundos
Consulta 51: Precision@6: 0.33, Recall@6: 0.11, Avg Distance: 46.45, Retrieval Time: 0.1508 segundos
Consulta 52: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.31, Retrieval Time: 0.1460 segundos
Consulta 53: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 52.66, Retrieval Time: 0.1370 segundos
Consulta 54: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 41.67, Retrieval Time: 0.1630 segundos
Consulta 55: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 44.76, Retrieval Time: 0.1590 segundos
Consulta 56: Precision@6: 0.25, Recall@6: 0.08, Avg Distance: 50.15, Retrieval Time: 0.1600 segundos
Consulta 57: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 47.64, Retrieval Time: 0.1490 segundos
Consulta 58: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.16, Retrieval Time: 0.1590 segundos
Consulta 59: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 54.57, Retrieval Time: 0.1600 segundos
Consulta 60: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 35.64, Retrieval Time: 0.1540 segundos
Consulta 61: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 43.23, Retrieval Time: 0.1520 segundos
Consulta 62: Precision@6: 0.25, Recall@6: 0.12, Avg Distance: 54.24, Retrieval Time: 0.1400 segundos
Consulta 63: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.90, Retrieval Time: 0.1500 segundos
Consulta 64: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 51.02, Retrieval Time: 0.1450 segundos
Consulta 65: Precision@6: 0.25, Recall@6: 0.04, Avg Distance: 53.03, Retrieval Time: 0.2974 segundos
Consulta 66: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 41.02, Retrieval Time: 0.1460 segundos
Consulta 67: Precision@6: 0.50, Recall@6: 0.42, Avg Distance: 51.66, Retrieval Time: 0.1680 segundos
Consulta 68: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 37.98, Retrieval Time: 0.1850 segundos
Consulta 69: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 40.84, Retrieval Time: 0.2240 segundos
Consulta 70: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 47.16, Retrieval Time: 0.1480 segundos
Consulta 71: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 42.25, Retrieval Time: 0.1630 segundos
Consulta 72: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 36.95, Retrieval Time: 0.1524 segundos
Consulta 73: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 41.91, Retrieval Time: 0.1370 segundos
Consulta 74: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 53.81, Retrieval Time: 0.1330 segundos
Consulta 75: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 39.90, Retrieval Time: 0.1380 segundos
Consulta 76: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 54.76, Retrieval Time: 0.1370 segundos
Consulta 77: Precision@6: 0.20, Recall@6: 0.03, Avg Distance: 49.83, Retrieval Time: 0.1400 segundos
Consulta 78: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 35.95, Retrieval Time: 0.1330 segundos
Consulta 79: Precision@6: 0.20, Recall@6: 0.07, Avg Distance: 49.92, Retrieval Time: 0.1400 segundos
Consulta 80: Precision@6: 0.17, Recall@6: 0.03, Avg Distance: 48.49, Retrieval Time: 0.1350 segundos
Consulta 81: Precision@6: 0.33, Recall@6: 0.22, Avg Distance: 48.58, Retrieval Time: 0.1420 segundos
Consulta 82: Precision@6: 0.00, Recall@6: 0.00, Avg Distance: 43.96, Retrieval Time: 0.1410 segundos
Consulta 83: Precision@6: 1.00, Recall@6: 1.00, Avg Distance: 30.34, Retrieval Time: 0.1380 segundos
